number;title
3;Taza, Son of Cochise (1954)
1;Les Bronzés (1978)
2;Les Bronzés Font du Ski (1979)
3;Les Bronzés 3: Amis pour la vie (2006)
1;Brüder (de) (2002)  
2;Brüder II (de) (2003)  
3;Brüder III – Auf dem Jakobsweg (de) (2006)  
1;Butch Cassidy and the Sundance Kid (1969)
2;Wanted: The Sundance Woman (1976)  
3;Butch and Sundance: The Early Days (1979)  
1;The Butterfly Effect (2004)
2;The Butterfly Effect 2 (2006)  
3;The Butterfly Effect 3: Revelations (2009)
1;La Cage aux Folles (1978)
2;La Cage aux Folles II (1980)
3;La Cage aux Folles 3: The Wedding (1985)
1;Caged Heat (1974)
2;Caged Heat II: Stripped of Freedom (1994)
3;Caged Heat 3000 (1995)
1;Interview (1971)
2;Calcutta 71 (1971)
3;Padatik (The Guerilla Fighter) (1973)
1;Pratidwandi (The Adversary) (1971)
2;Seemabaddha (Company Limited) (1971)
3;Jana Aranya (The Middleman) (1976)
1;Camp Blood (1999)  
2;Camp Blood 2 (2000)  
3;Within the Woods (2005)  
1;Camping (2006)
2;Camping 2 (2010)
3;Camping 3 (2016)
1;Candyman (1992)
2;Candyman: Farewell to the Flesh (1995)
3;Candyman: Day of the Dead (1999)  
1;Ultimo mondo cannibale (1977)
2;Cannibal Holocaust (1980)
3;Inferno in diretta (1985)
1;The Cannonball Run (1981)
2;Cannonball Run II (1984)
3;Speed Zone (1989)
1;Cars (2006)
2;Cars 2 (2011)
3;Cars 3 (2017)
1;The Care Bears Movie (1985)
2;Care Bears Movie II: A New Generation (1986)
3;The Care Bears Adventure in Wonderland (1987)
1;Bodas de sangre (1981)
2;Carmen (1983)
3;El amor brujo (1986)
1;Carnosaur (1993)
2;Carnosaur 2 (1995)
3;Carnosaur 3: Primal Species (1996)  
1;La Casa 3 (1988)
2;La Casa 4 (1988)
3;La Casa 5 (1990)
1;Casino Raiders (1989)
2;No Risk, No Gain: Casino Raiders - The Sequel (1990)
3;Casino Raiders II (1993)
1;Cathy (1987)  
2;Cathy's Last Resort (1988)  
3;Cathy's Valentine (1989)  
1;Dio perdona... Io no! (1967)
2;I quattro dell'Ave Maria (1968)
3;La collina degli stivali (1969)
1;Fort Apache (1948)
2;She Wore a Yellow Ribbon (1949)
3;Rio Grande (1950)
1;Chameleon (1998)  
2;Chameleon II: Death Match (1999)  
3;Chameleon 3: Dark Angel (2000)  
1;Nous autres à Champignol (fr) (1957)
2;Le Gendarme de Champignol (fr) (1959)
3;Le Caïd de Champignol (fr) (1966)
1;Number One of the Secret Service (1977)
2;Licensed to Love and Kill (1979)
3;Number One Gun (1980)
1;Licensed to Kill (1965)
2;Where the Bullets Fly (1966)
3;Somebody's Stolen Our Russian Spy (1967)
1;The Cheetah Girls (2003)  
2;The Cheetah Girls 2 (2006)  
3;The Cheetah Girls: One World (2008)  
1;Center Stage (2000)
2;Center Stage: Turn It Up (2008)
3;Center Stage: On Pointe (2016)  
1;A Chinese Ghost Story (1987)
2;A Chinese Ghost Story II (1990)
3;A Chinese Ghost Story III (1991)
1;A Chinese Odyssey Part One: Pandora's Box (1994)
2;A Chinese Odyssey Part Two: Cinderella (1994)
3;A Chinese Odyssey Part Three (2016)
1;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)
2;The Chronicles of Narnia: Prince Caspian (2008)
3;The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)
1;Pitch Black (2000)
2;The Chronicles of Riddick (2004)
3;Riddick (2013)
1;Cinderella (1950)
2;Cinderella II: Dreams Come True (2002)  
3;Cinderella III: A Twist in Time (2007)  
1;The Circuit (2002)
